FID,Id,Flood_poi,NEAR_FID,NEAR_DIST,DEM_FINAL,Slope,Aspect,Curvature
0,0,1,5,725.883133621999946,2360.1398926,40.3325996,121.5820007,-1.6980600
1,0,1,5,679.038226201000043,2178.1799316,35.1155014,27.4032001,-2.7950001
2,0,1,5,679.038226201000043,2178.1799316,35.1155014,27.4032001,-2.7950001
3,0,1,5,0.000000000000000,1871.8199463,25.2733994,253.6670074,2.6876500
4,0,1,5,702.460679912000046,2333.0300293,19.6408997,98.3720016,4.0246501
5,0,1,5,0.000000000000000,1949.0100098,58.0676003,263.2330017,1.1329600
6,0,1,5,0.000000000000000,1965.3499756,55.2839012,318.0639954,1.1557600
7,0,1,5,873.231660600000055,2527.8200684,31.8906002,272.3919983,-1.2032501
8,0,1,5,0.000000000000000,1849.4899902,8.0026503,293.1560059,-2.9136300
9,0,1,5,0.000000000000000,1849.4899902,8.0026503,293.1560059,-2.9136300
10,0,1,5,0.000000000000000,1849.4899902,8.0026503,293.1560059,-2.9136300
11,0,1,5,812.709639479999964,2082.2900391,44.3073006,168.7010040,0.0826582
12,0,1,5,832.348832304999974,2516.6499023,49.8922005,111.2529984,4.8961701
13,0,1,5,781.671159732999968,2427.9899902,29.3873005,308.7439880,-1.7385000
14,0,1,5,728.319925217999980,2294.0400391,37.5838013,95.8620987,-1.3520499
15,0,1,5,746.665515272999983,2366.8400879,38.4772987,209.0529938,2.1751900
16,0,1,8,0.000000000000000,3618.1599121,37.1147003,151.2200012,0.9901830
17,0,1,12,1046.580325970000104,3960.6599121,36.2843018,240.1009979,-0.2568440
18,0,1,8,711.105407818999993,3900.6000977,20.6333008,257.4599915,0.4333870
19,0,1,8,0.000000000116415,3387.3898926,43.1473999,277.3259888,0.5152830
20,0,1,8,0.000000000000000,3183.1999512,34.3088989,236.9819946,-0.5797450
21,0,1,8,849.742975301999991,3401.6599121,28.1473999,226.7640076,1.0933400
22,0,1,8,676.652115403000039,3086.4199219,43.6029015,87.8139038,3.6565900
23,0,1,8,405.866784992000021,3177.0600586,41.5777016,128.6190033,1.4212600
24,0,1,8,0.000000000000000,3116.2800293,15.2237997,182.6470032,-0.1583060
25,0,1,8,0.000000000116415,3180.7900391,43.5621986,297.2749939,1.8434100
26,0,1,12,468.175682707000021,3429.3500977,45.5634003,277.1749878,2.2863100
